
<2017-11-20 18:15:01.140980> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:06.147149> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:11.153458> <('127.0.0.1', 37912)><0>
<2017-11-20 18:15:16.159880> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:21.166098> <('127.0.0.1', 37912)><0>
<2017-11-20 18:15:26.172384> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:31.177798> <('127.0.0.1', 37912)><0>
<2017-11-20 18:15:36.180542> <('127.0.0.1', 37912)><0>
<2017-11-20 18:15:41.182445> <('127.0.0.1', 37912)><0>
<2017-11-20 18:15:46.189061> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:51.195294> <('127.0.0.1', 37912)><1>
<2017-11-20 18:15:56.200745> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:01.206916> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:06.213004> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:11.219081> <('127.0.0.1', 37912)><0>
<2017-11-20 18:16:16.225222> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:21.229416> <('127.0.0.1', 37912)><0>
<2017-11-20 18:16:26.232727> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:31.236730> <('127.0.0.1', 37912)><0>
<2017-11-20 18:16:36.242933> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:41.246780> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:46.252467> <('127.0.0.1', 37912)><1>
<2017-11-20 18:16:51.256378> <('127.0.0.1', 37912)><0>
<2017-11-20 18:16:56.260626> <('127.0.0.1', 37912)><1>
<2017-11-20 18:17:01.264519> <('127.0.0.1', 37912)><1>
<2017-11-20 18:17:06.268776> <('127.0.0.1', 37912)><1>
<2017-11-20 18:17:11.272555> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:16.278969> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:21.284685> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:26.290838> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:31.296924> <('127.0.0.1', 37912)><1>
<2017-11-20 18:17:36.300472> <('127.0.0.1', 37912)><1>
<2017-11-20 18:17:41.306575> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:46.312641> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:51.316504> <('127.0.0.1', 37912)><0>
<2017-11-20 18:17:56.320923> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:01.324272> <('127.0.0.1', 37912)><0>
<2017-11-20 18:18:06.330196> <('127.0.0.1', 37912)><0>
<2017-11-20 18:18:11.332356> <('127.0.0.1', 37912)><0>
<2017-11-20 18:18:16.335442> <('127.0.0.1', 37912)><0>
<2017-11-20 18:18:21.341770> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:26.347887> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:31.354005> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:36.360178> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:41.364579> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:46.368592> <('127.0.0.1', 37912)><1>
<2017-11-20 18:18:51.373694> <('127.0.0.1', 37912)><0>
<2017-11-20 18:18:56.378215> <('127.0.0.1', 37912)><1>
<2017-11-20 18:19:01.383540> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:06.389613> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:11.395754> <('127.0.0.1', 37912)><1>
<2017-11-20 18:19:16.401887> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:21.408126> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:26.414106> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:31.420114> <('127.0.0.1', 37912)><1>
<2017-11-20 18:19:36.423303> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:41.429240> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:46.432583> <('127.0.0.1', 37912)><0>
<2017-11-20 18:19:51.438824> <('127.0.0.1', 37912)><1>
<2017-11-20 18:19:56.444913> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:01.448597> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:06.454711> <('127.0.0.1', 37912)><1>
<2017-11-20 18:20:11.460778> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:16.464546> <('127.0.0.1', 37912)><1>
<2017-11-20 18:20:21.470624> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:26.476538> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:31.482718> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:36.488430> <('127.0.0.1', 37912)><1>
<2017-11-20 18:20:41.492259> <('127.0.0.1', 37912)><1>
<2017-11-20 18:20:46.494223> <('127.0.0.1', 37912)><0>
<2017-11-20 18:20:51.500261> <('127.0.0.1', 37912)><1>
<2017-11-20 18:20:56.506363> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:01.509795> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:06.512534> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:11.516406> <('127.0.0.1', 37912)><1>
<2017-11-20 18:21:16.522291> <('127.0.0.1', 37912)><1>
<2017-11-20 18:21:21.528412> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:26.530578> <('127.0.0.1', 37912)><1>
<2017-11-20 18:21:31.536798> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:36.542742> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:41.548773> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:46.555085> <('127.0.0.1', 37912)><0>
<2017-11-20 18:21:51.560661> <('127.0.0.1', 37912)><1>
<2017-11-20 18:21:56.564735> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:01.570840> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:06.576851> <('127.0.0.1', 37912)><0>
<2017-11-20 18:22:11.580564> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:16.586847> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:21.592648> <('127.0.0.1', 37912)><1>
